SampleType,CategoryID
Turmeric Powder,1
Chili Powder,1
Condiment Powder,1
Pepper powder,1
Caraway whole,1
Caraway powder,1
Cardamom whole,1
Cardamom powder,1
Chilles whole,1
Cinaman whole,1
Cinaman powder,1
Pepper whole,1
Cloves whole,1
Cloves powder,1
Coriander whole,1
Coriander powder,1
Cumin whole ,1
Cumin powder,1
"Dill, whole",1
Dill powder,1
Fennel whole,1
Fennel powder,1
Fenugreek whole,1
Fenugreek powder,1
Ginger whole,1
Ginger powder,1
Mace whole,1
Mace powder,1
Mustard whole,1
Mustard powder,1
Nutmeg whole,1
Tamarind,1
Nutmec powder,1
Goraka,1
Garlic,1
Ice Cream,2
Curd,2
Yoghurt,2
Cheese,2
Butter,2
Ghee,2
Sprats,3
Kunissa,3
Dry Fish,3
Moldive Fish,3
Tin Fish,3
Prawns,3
Macoroni,4
Pasta,4
Nooldls,4
Spaghetti,4
Bred,5
Bun,5
Cake,5
Spanchi,5
Viskiringna,5
Cream Bun,5
Friut Cake,5
Iodized Salt (Granular),6
Iodized Salt (Powder),6
Tea,7
Coffie,7
Carbonated Beverages,8
Coconut Oil,9
Palm Oil,9
Gingelly Oil,9
Margarine,9
Vegetable fat,9
Corn oil,9
Olive oil,9
Ground nut oil,9
Soyabean oil,9
Palm kernel oil,9
Lard,9
Dripping,9
Vinegar,10
Bee Honey,11
Coconut Treacle,12
Palmyrah Treacle,12
Kithul Treacle,12
Brown Sugar,13
White Sugar,13
Coconut Jaggery,14
Sugar cane jaggery,14
Kithul Jaggery,14
Palmyrah jaggery,14
Mix Fruit Jam,15
Jelly,15
Melon Jam,15
Marmalades,15
Jam,15
Tomato Sause,16
Chillie Sause,16
Soya Sause,16
Ketchup ,16
Komarika Drink,17
Necta,17
Mango Drink,17
Friut Juice,17
Mixed Fruit Necta,17
Mixed Fruit Cordial,18
Toffie,19
Locinger,19
Loilipop,19
Bubble Gum,19
Watana Dhal,20
Gram,20
Misore Dhal,20
Green Gram,20
Black Gram,20
Soya,20
Cawpiya,20
Row Rice ,20
Parbiled Rice,20
Kurakkan,20
Barley,20
Oorid,20
Corn,20
Paddy,20
Maize,20
Cowpea dhal,20
Toor dhal,20
Rice flour,20
wheat flour,20
Corn flour,20
Kurakkan flour,20
Arrow root starch,20
Manioc sago,20
Custard powder,20
Semolina,20
Pasta products,20
Soya  Meet,22
Meet Boles,22
Peanut,23
Cashew Nut,23
Jambo Peanut,23
Murukku,24
Fried Manioc,24
Fried Potato,24
Tipitip,24
Bottled Water,25
Potable Water,25
Distilled Water,25
Deionized Water,25
