FooDTypeID,ParameterID,Uncertanty,Regulatory Limit,Accredited,Test Method
1,33,0.01,< 10,FALSE,PFL/7.2/TM/01
1,47,0.62,< 9,TRUE,SLS 186 - 3: 2008
1,1,0.003,< 1.5,TRUE,SLS 186 - 3: 2008
1,14,,-,FALSE,PFL/7.2/TM/03
1,4,,<2,FALSE,PFL/7.2/TM/04
1,28,,-,FALSE,PFL/7.2/TM/06
1,5,,<5,FALSE,PFL/7.2/TM/05
1,32,,-,FALSE,PFL/7.2/TM/02
2,33,0.01,<12,FALSE,PFL/7.2/TM/01
2,47,0.62,<8,TRUE,SLS 186 - 3: 2008
2,1,0.003,<1.3,TRUE,SLS 186 - 3: 2008
2,14,,-,FALSE,PFL/7.2/TM/03
2,4,,<2,FALSE,PFL/7.2/TM/04
2,28,,-,FALSE,PFL/7.2/TM/06
2,5,,<5,FALSE,PFL/7.2/TM/05
2,32,,-,FALSE,PFL/7.2/TM/02
3,33,0.01,<14,FALSE,PFL/7.2/TM/01
3,47,0.62,-,TRUE,SLS 186 - 3: 2008
3,1,0.003,<2,TRUE,SLS 186 - 3: 2008
3,32,,-,FALSE,PFL/7.2/TM/02
3,14,,-,FALSE,PFL/7.2/TM/03
3,4,,<2,FALSE,PFL/7.2/TM/04
3,28,,-,FALSE,PFL/7.2/TM/06
3,5,,<5,FALSE,PFL/7.2/TM/05
4,33,,<12,FALSE,PFL/7.2/TM/01
4,47,,<2.2,FALSE,SLS 186 - 3: 2008
4,1,,<1.5,FALSE,SLS 186 - 3: 2008
4,32,,-,FALSE,PFL/7.2/TM/02
4,5,,<5,FALSE,PFL/7.2/TM/05
4,4,,<2,FALSE,PFL/7.2/TM/04
36,44,,,FALSE,PFL/7.2/TM/07
36,14,,,FALSE,PFL/7.2/TM/03
36,32,,,FALSE,PFL/7.2/TM/02
36,24,,,FALSE,PFL/7.2/TM/08
37,19,,,FALSE,SLS 735: Part 1: section 2: 2009
37,32,,,FALSE,PFL/7.2/TM/02
37,33,,,FALSE,PFL/7.2/TM/10
37,41,,,FALSE,PFL/7.2/TM/11
38,19,,,FALSE,SLS 28: Part 3: 2008
38,32,,,FALSE,PFL/7.2/TM/02
38,33,,,FALSE,PFL/7.2/TM/10
38,41,,,FALSE,PFL/7.2/TM/11
38,14,,,FALSE,PFL/7.2/TM/03
