PHIareas,MOHAreaID
Adiyagama,34
Alawwa,1
Ambanpola,2
Anamaduwa,3
Anawilundawa,4
Atiyawala,8
Awlegama,45
Balalla,25
Bamunakotuwa,5
Bamunawala,20
Bandarakoswaththa,36
Bangadeniya,4
Battuluoya,4
Bingiriya,6
Bohingamuwa,19
Bopitiya,37
Boralessa,47
Boraluwewa,16
Borawewa,2
Boyagane,20
Boyawalana,1
Bulupitiya,46
Buluwala,42
Chillaw MC,7
Dahanekgedara,36
Dambadeniya,30
Dampelessa,30
Dandagamuwa,19
Dankotuwa,8
Deegalla,19
Dewagiripura,10
Digampitiya,28
Diwullegoda,33
Dodamgaslanda,42
Dummalasooriya,43
Dunakadeniya,43
Dunkannawa,31
East,21
Ehetuwewa,9
Ethanawaththa,5
Galgammulla,18
Galgamuwa,10
Galmuruwa,22
Ganegoda,30
Ganewaththa,11
Ganthiriyawa,5
Giribawa,12
Girilla,17
Gokarella,13
Gonigoda,42
Hakwatunawa,39
Heelogama,33
Henegedara,43
Hettipola,36
Hiripitiya,11
Hiruwalpoala,6
Hulugalla,33
Ibbagamuwa,13
Iginimitiya,15
Kabalewa,19
kadigawa,41
Kakkapalliya,7
Kalaoya,15
Kalpitiya,14
Kandanagedara,37
Kanoyaya,35
Karadipuwal,40
Karambe,25
Karathiw,40
Kathnoruwa,9
Katugampala,37
Katuneriya,31
Kekunagolla,18
Keththapahuwa,2
Kirimetiyana,8
Kithalawa,19
Kobeigane,16
Kokkavila,7
Kolambagama,35
KOTAWEHERA,17
Kottramulla,31
Kottukachchiya,3
Kubukgate,11
Kubukwewa,13
Kudagalgamuwa,20
Kuliyapitiya,19
Lunuwila,47
Ma-Eliya,39
Madagama,22
Madampe,22
Madurankuliya,29
Mahagallkadawala,10
Mahakumbukkadawala,3
Maharachchimulla,1
Mahawewa,24
Maho,25
Makadura,37
Malkaduwawa,20
Mallawapitiya,26
Mampuri,14
Manakkulama,22
Manathiw,40
Maraluwawa,26
Maravila,24
Maspotha,20
Mawathagama,28
Mawila,31
Meegalewa,10
Meethanwala,28
Melsiripura,13
Metiyagane,30
Minuwangate,45
Moonamaldeniya,36
Moragane,35
Moragollagama,39
Mugunuwatawana,7
Mukkuthoduwa,29
Mundal,29
Munnesaram,7
Nagollagama,25
Nainamadama,47
Nakkawaththa,18
Nanneriya,10
Narammala,30
Narangoda,37
Naththandiya,31
Nawagaththegama,15
Nawathalwaththa,1
Nelliya,13
Neththipolagedara,18
Netiya,45
Nikaweratiya,33
Norochchole,14
North,21
Padeniya,45
Palaviya,40
Pallama,34
Palleyaya,42
panagamuwa,42
Panaliya,38
Panduwasnuwara,36
Pannala,37
Pansiyagama,39
Piduruwella,46
Polgahawela,38
Polpithigama,39
Pothuhara,38
Pusalla,42
Puththalama UC,40
Rajakadaluwa,4
Rajanganaya,12
Rambadagalla,42
Rathmalgoda,38
South,21
Thabbowa,15
Thalakolawewa,41
Thalawila,14
Thambagalla,11
Thambarawila,47
Tharana,6
Thiththawella,20
Thoduwawa,24
THORAYAYA,26
Udappuwa,29
Udubaddawa,43
Wadakanda,38
Wadigamangawa,3
Waduwawa,1
Walahapitiya,24
Walp[olakanda,26
Warawewa,12
Wariyapola,45
Watareka,28
Weerabugedara,46
Weerapokuna,6
Wehara,20
Wellawa,20
Welpalla,37
Wennappuwa,47
West,21
Weuda,28
Wewagama,19
Wilpotha,34
Wraddana,20
Yakkadapotha,16
Yakwila,37
Yogiyana,8
